ID,SMILES,Tb_cruzi
1401,N(CCC1C=CC=CC=1)CC1C2N(C3CCCCC3)C(C3C=NC=CN=3)=NC=2C=NC=1,6.49999693194831
1543,C1C=CC(N(C2CCN(C3N=CC=CN=3)CC2)C2C=CC(C(F)(F)F)=CC=2)=CN=1,7.76955107862173
780,C1C=CC(N(C2CCN(C3N=CC(F)=CN=3)CC2)C2C=CC(C(F)(F)F)=CC=2)=CN=1,7.65757731917779
1382,N1C2CCCCC=2C(=O)N2C1=C(C1C=CC(Br)=CC=1)C(C)=N2,6.0
566,N1C2CCCCC=2C(=O)N2C1=C(C1C=CC(Cl)=CC=1)C(C)=N2,6.39999691337226
21,N(C1SC=C(C2OC3C(=CC=CC=3OCC)C=2)N=1)C(C1SC2C=CC=CC=2C=1Cl)=O,4.58682792479303
1098,NCCNC1C=CC(C2C=CN=C(NC3C=CC=C(CN4CCOCC4)C=3)N=2)=CC=1C#N,5.1000001283342
876,N1C(C2CCCN(CC3N(C)C4C=CC=CC=4N=3)C2)=C(C)C=N1,5.49999967865706
1475,N(C1C=CC=CC=1)C(C1C=COC=1C)=O,4.12501402084332
1920,ON=C(C1C=CC=CC=1C1C=CC=CC=1)NC1CCCCC1,4.60859979909447
736,C1C=CC(N2CCC3(CCN(S(C4C=CC(C#N)=CC=4)(=O)=O)CC3)C2=O)=CC=1,5.89999841719865
832,N(CC1CN(CCN2C3N=C(C=CC=3N=CC2=O)OC)CCO1)CC1C=CC(C(F)(F)F)=CC=1F,6.39999691337226
1956,N(C1C=CC(C)=CC=1C(C1C=CC=CC=1)=O)C(C1C(OC)=C(OC)C=CC=1)=O,5.00737336016551
598,NC1N=C(C2C=CC=CN=2)N=C(N2C(C)=C(CC3C=CC=CC=3)C(C)=N2)N=1,5.59999938302362
399,C1C=CC(C(C2C=CC(Cl)=CC=2)C(N2CCN(C3C=CC(C(F)(F)F)=CN=3)CC2)=O)=CN=1,8.09691001300806
884,C1C=CC(C(C2C=CC(C#N)=CC=2)C(N2CCN(C3C=CC(C(F)(F)F)=CN=3)CC2)=O)=CN=1,7.63827216398241
1963,C1C=CC(C(N2CCN(C3C=CC(C4C=CC(Cl)=CC=4)=NN=3)CC2)=O)=C(OCC)N=1,4.67675252358222
712,N(C1CCN(CC2CN3C(C=CC4=C3C2=C(C=C4)F)=O)CC1)CC1OC2C=CC=CC=2C=1,6.39999691337226
1363,N(C1C=CC=CC=1)C(NC1CCN(C(C2C=CC(Cl)=CC=2)C2C=NC=NC=2)CC1)=O,7.0
587,N(C1C=CC=CC=1)C(NC1CCN(C(C2C=CC(Cl)=CC=2F)C2C=NC=NC=2)CC1)=O,7.52287874528034
1892,N(CCC1C2C=CC=CC=2NC=1)C1N=CN=C2C=1C=NN2,5.0573326154258
1736,C1SC(N2CCN(C(C(C3C=CC(Cl)=CC=3)C3C=CC=NC=3)=O)CC2)=NC=1,7.29242982390206
1908,ON=C(C1C=CC=NC=1OC1C=CC=CC=1Cl)NC1CCC(C)CC1,4.882191576986
859,NCC1N=C(NC2C=C(OC3C=CC=CC=3)N=CN=2)SC=1,4.4999999533289
760,N(C1CCN(C(C2N=CSC=2)=O)CC1)C(C1C=CC(Cl)=CC=1F)C1C=CC=NC=1,6.61798295742513
1417,N(C1CCN(C(C2N=C(C)SC=2)=O)CC1)C(C1C=CC(C(F)(F)F)=CC=1)C1C=CC=NC=1,6.48611681438891
358,N(C1CCN(C(C2N=CSC=2)=O)CC1)C(C1C=CC(C(F)(F)F)=CC=1)C1C=CC=NC=1,6.66054855869356
1078,N(C1C=C(C(C)=NOC)C=CC=1N1C=CN=C1)C(C1C=CC(C2C=CC=CC=2)=NC=1)=O,7.8843894883257
75,N(C1SC=C(C2C=CC=CN=2)N=1)C(C1C=CC(S(N(C2CCCCC2)CC)(=O)=O)=CC=1)=O,6.0108576939646
1960,N(C1SC2CCCCCC=2C=1C(OCC)=O)C(CN1C(N2C(C)=CC(C)=N2)=NC(CC)=CC1=O)=O,5.83715926070082
1315,OC1C2=C3C(=CC=C2)CCN3C(=O)C=1C(NC1NC2C=CC=CC=2N=1)=O,4.70000006855703
1008,OC(C1C=CC=CC=1Cl)(C1C=CC(Cl)=CC=1)C1C=CN=CN=1,5.1518108830086
412,N(CCCN1CCN(C)CC1)C1C2N=CC=CC=2C=C(OCC)C=1,5.74999985591871
40,N(C1C=CC(S(NCCC2C=CC(N3CCCC3)=CC=2)(=O)=O)=C(C)C=1)C(CC)=O,4.91422581021024
