ID,SMILES,Tb.brucei
1172,COC1=CC=C(C(=O)C2C(C)=NN(C2=O)C2=CC=CC=C2)C(OC)=C1,0
1247,COC1=CC=C(C=C1OC)C1=CC=C(N=N1)N1CCN(CC1)C(=O)C1=C(F)C=CC=C1F,0
1021,CC1=C2CCC=C3C(=O)OCC23CCC2=C1C(OC2=O)C1=COC=C1,0
1122,FC1=CC=C(NC2=NC(CC(=O)N3CCN(CC3)C3=NC=CC=N3)=CS2)C=C1,0
550,COC1=CC=C(C=C1OCC1=CC=CC=N1)C1=NN(C2CCCCCC2)C(=O)C1(C)C,1
1083,COC1=CC=C(C=C1)C1=NN=C(NC(=O)C2=CC=CC(=C2)C(F)(F)F)O1,0
783,CC1=CC=C(C2=NN=C(NC(=O)C3=CC=C(C=C3)S(=O)(=O)N(CC=C)CC=C)O2)C(C)=C1,1
418,CN1CCN(CC(=O)NC2=CC=C(NC(=O)C3=CC=C4C=CC=CC4=C3)C=C2C(=O)C2=CC=CC=C2)CC1,1
1283,O=C(NC1=CC=C2CCN(C(=O)C3=CC=CS3)C2=C1)C1=CC2=CC=CC=C2OC1=O,0
221,[O-][N+](=O)C1=NN(CCCNS(=O)(=O)C2=CC=C(Cl)S2)C=N1,1
1092,CN1N=C(C=C1C)C(=O)NC1=NN=C(O1)C1=CC=C(Br)S1,0
1230,CSC1=CC=C2N=C(SC2=C1)N(CC1=CC=CN=C1)C(=O)C1=CC=C(C=C1)C(C)(C)C,0
1296,CSC1=CC=CC(=C1)C(=O)N(CC1=CC=CN=C1)C1=NC2=CC=C(C=C2S1)S(C)(=O)=O,0
90,CC1(COCC2=CC=C(OC3=CC=CC=C3)C=C2)CN2C=C(N=C2O1)[N+]([O-])=O,0
71,[O-][N+](=O)C1=CN2CC(COCC3=CC=C(OC4=CC=CC=C4)C=C3)OC2=N1,0
549,COC1=CC=C(C=C1OCC1=CC=CC2=CC=CC=C12)C1=NN(C2CCCCCC2)C(=O)C1(C)C,1
416,ClC1=CC2=CC=C1OCCCCOC1=CC3=C(CCCC3)C=C1C(=O)NC(C2)C(=O)NC1(CC1)C#N,1
73,CC1(COC2=CC=C(C=C2)N2CCC(CC2)OC2=CC=C(OC(F)(F)F)C=C2)CN2C=C(N=C2S1)[N+]([O-])=O,0
828,CC(CNC(=O)NC1=CC=CC=C1C(F)(F)F)N1CCC(C)CC1,1
723,CC(CNC(=O)NC1=CC=C(C=C1)C(F)(F)F)N1CCC(C)CC1,1
724,CC(CNC(=O)NC1=CC=CC(Cl)=C1)N1CCC(C)CC1,1
821,CC(CNC(=O)NC1=CC=C(F)C=C1)N1CCC(C)CC1,1
1071,O=C(CN1C2=CC=CC=C2N=C1S(=O)(=O)CC1=CC=CC=C1)N1CCN(CC1)C1=CC=CC=C1,0
417,FC(F)(F)C1=CC=C2C(OCCCCOC3=CC=C(CC(NC2=O)C(=O)NC2(CC2)C#N)C=C3Cl)=C1,1
467,CC1(C)CCC2=C(NCCCCCCNC3=C4C=CC(Cl)=CC4=NC4=C3CCC(C)(C)C4)C3=CC=C(Cl)C=C3N=C2C1,1
459,C(CCCNC1=C2CCCCC2=NC2=CC=CC=C12)CCNC1=C2CCCCC2=NC2=CC=CC=C12,1
436,ClC1=CC=C2C(=C1)N=C1CCCCC1=C2NCCCCCCNC1=C2CCCCC2=NC2=CC(Cl)=CC=C12,1
453,CC1CCC2=C(NCCCCCCNC3=C4C=C(C=CC4=NC4=C3CCC(C)C4)[N+]([O-])=O)C3=CC(=CC=C3N=C2C1)[N+]([O-])=O,1
1112,CCSC1=NN=C(NC(=O)C2=CC(=O)C(OCC3=CC=C(F)C=C3)=CN2C)S1,0
7,[O-][N+](=O)C1=NN(CC(=O)N2CCN(CC2)C(C2=CC=CC=C2)C2=CC=C(Cl)C=C2)C=N1,1
1226,FC1=CC=C(OCCCS(=O)(=O)NCCCC2=CC=CC=C2)C=C1,0
254,CC(C)=CCCC1(C)C(CC=C(C)C)CC2(CC=C(C)C)C(O)=C(C(=O)C3=CC=C(OCC4=CC=CC=C4)C(OCC4=CC=CC=C4)=C3)C(=O)C1(CC=C(C)C)C2=O,1
458,C(CNC1=C2CCCCC2=NC2=CC=CC=C12)NC1=C2CCCCC2=NC2=CC=CC=C12,1
