ID,SMILES,T.cruzi,Tb.brucei,Tb.rhodesiense
1250,CCCCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(C=C12)N1CCC(CC1)C(N)=O,,0.0,
8485,[H]N(C(=O)C([H])([H])N1C([H])=C(C(=O)C([H])([H])[H])C2=C([H])C([H])=C([H])C([H])=C12)C([H])([H])C([H])([H])C1=C([H])N([H])C2=C([H])C([H])=C([H])C([H])=C12,0.0,,
56,CN(C)S(=O)(=O)C1=CC=C(C=C1)C(=O)NC1=NN=C(SCC(=O)NCC2=CC=CO2)S1,1.0,0.0,
7645,[H]N(N([H])C(=O)C1=C(OC([H])=C1[H])C([H])([H])[H])C(=S)N([H])C([H])([H])C1=C([H])C([H])=C(Cl)C([H])=C1[H],0.0,,
5335,[H]N(C(=O)C1=NN2C(N([H])C([H])(C3=C([H])C([H])=C(OC([H])([H])[H])C([H])=C3[H])C([H])([H])C2([H])C(F)(F)F)=C1Cl)C([H])([H])C1=C([H])N(N=C1C([H])([H])[H])C([H])([H])[H],0.0,,
5193,[H]N(C(=O)C1=C([H])C(=C([H])C([H])=C1[H])C([H])([H])[H])C1=NON=C1C1=C([H])C(OC([H])([H])[H])=C(OC([H])([H])[H])C([H])=C1[H],0.0,,
5953,[H]N(C1=NC(OC([H])([H])[H])=NC(OC([H])([H])[H])=N1)C1=C([H])C([H])=C(C([H])=C1[H])C(=O)C([H])([H])[H],0.0,,
7275,[H]OC1([H])N(N(C2=C([H])C([H])=C([H])C([H])=C2[H])C([H])(C([H])([H])[H])C1([H])[H])C(=O)C([H])([H])[H],0.0,,
4586,[H]N(C(=O)C1=C([H])N=C(S1)C1=C([H])C([H])=C([H])C([H])=C1[H])C1=C(C([H])=C([H])C(=C1[H])S(=O)(=O)N(C([H])([H])[H])C([H])([H])[H])N1C([H])=NC([H])=C1[H],1.0,,
3934,[H]C1=C([H])N(C([H])=N1)C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])N1C([H])([H])C([H])([H])C([H])(N2C(=O)C([H])([H])OC(C3=C([H])C([H])=C([H])C([H])=C3[H])(C3=C([H])C([H])=C([H])C([H])=C3[H])C2([H])[H])C([H])([H])C1([H])[H],1.0,,
2261,CCC(C)C(O)C(=O)OCC=C(CO)C(=O)OC1C\C(C)=C/CC(O)\C(C)=C/C2OC(=O)C(=C)C12,,,1.0
5664,[H]N(C(=O)C1=C([H])C([H])=C([H])C(=C1[H])S(=O)(=O)N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])C1=C([H])C([H])=C(C#N)C([H])=C1[H],0.0,,
364,CC1=CC=C(NC(=O)C2=C(NC(=O)CC(C3=CC=CC=C3)C3=CC=CC=C3)C3=CC=CC=C3O2)C=C1C,0.0,0.0,
8193,[H]N(C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C1=C([H])N=C([H])C([H])=C1[H])C([H])([H])C1=C([H])N=C([H])C([H])=C1[H],0.0,,
3675,[H]OC(C1=C([H])N=C([H])C([H])=C1[H])(C1=C([H])C([H])=C(Cl)C([H])=C1[H])C1=C([H])C(=C([H])C([H])=C1[H])C(=O)N([H])C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],1.0,,
7652,[H]N1C(=O)C([H])(N(C([H])([H])C2=C([H])C(OC([H])([H])[H])=C(OC([H])([H])[H])C([H])=C2[H])C([H])([H])C1([H])[H])C([H])([H])C(=O)OC([H])([H])C([H])([H])[H],0.0,,
4632,[H]N(C(=O)C([H])([H])C1=C([H])C([H])=C(F)C([H])=C1[H])C1=NC2=C(C([H])=C([H])C([H])=C2[H])N1C([H])([H])C([H])([H])[H],1.0,,
6763,[H]OC(=O)C1=C([H])C([H])=C(N([H])C(=O)C(N([H])C(=O)C([H])=C([H])C2=C([H])C([H])=C([H])C([H])=C2[H])=C([H])C2=C([H])C([H])=C([H])C([H])=C2[H])C([H])=C1[H],0.0,,
1515,CC=C(C)C(=O)OC1C\C(C=O)=C/CC(O)\C(C)=C/C2OC(=O)C(=C)C12,,,1.0
