ID,SMILES,T.cruzi,Tb.brucei,Tb.rhodesiense
2114,O=C(OC1CC2(CC(C1C(C2)C1=CC=CC=C1)C1=CC=CC=C1)N1CCCCC1)C1=CC2=C(OCO2)C=C1,,,1.0
1933,FC1=CC=C(OC2=CC(=O)C3=CC4=CC=CC=C4C=C3C2=O)C=C1,,,1.0
1549,COC1=CC(CC(=O)NCCN2CCOCC2)=CC=C1O,,,0.0
325,O=C(CC1=CSC(NC(=O)C2=CC=CNC2=O)=N1)NC1=CC=C2OCCOC2=C1,0.0,0.0,
7871,[H]OC1=C2C(SC([H])=C2C2=C([H])C([H])=C(C([H])=C2[H])C([H])([H])[H])=NC([H])=N1,0.0,,
1431,[O-][N+](=O)C1=CN(C=N1)C1=CC=CC(Cl)=C1,,,1.0
926,CN1CCN(CC1)C(C(=O)NC1=CC=C(NC(=O)C2=CC=CC3=CC=CC=C23)C=C1C(=O)C1=CC=CC=C1)C1=CC=CC=C1,,1.0,
2590,O=C(NC1CCC(CC1)NC(=O)C1=CC=C(C=C1)C1=NCCN1)C1=CC=C(C=C1)C1=NCCN1,,,1.0
6764,[H]C(=C([H])C1=C(F)C([H])=C([H])C([H])=C1[H])C(=O)C1=C(N=C2C(=C1[H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])[H],0.0,,
1369,NC(=N)C1=CC=C2NC(NC3=CC=CC=C3)=NC2=C1,,,0.0
5141,[H]N(C(=O)C1([H])N(C(=O)C([H])([H])C2=C([H])C([H])=C(F)C([H])=C2[H])C2=C(C([H])=C([H])C([H])=C2[H])C1([H])[H])C([H])([H])[H],0.0,,
933,CC1CCC2=C(NCCCCCCNC3=C4C=C(C=CC4=NC4=C3CCC(C)C4)[N+]([O-])=O)C3=CC(=CC=C3N=C2C1)[N+]([O-])=O,,1.0,
8388,[H]N([H])C1=C(C#CC2=NC([H])=C([H])N=C2[H])C([H])=C([H])C([H])=C1[H],0.0,,
408,[O-][N+](=O)C1=NN(CC(=O)NC2=CC=C(OC3=CC=C(Cl)C=C3)C=C2)C=N1,,1.0,1.0
1432,[O-][N+](=O)C1=CN(C=N1)C1=CC=C(F)C(F)=C1,,,1.0
3536,[H]N1C2=C(C([H])=C([H])C([H])=C2[H])C2=NC3=C(C([H])=C([H])C([H])=C3[H])N2C1(C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])[H],0.0,,
3880,[H]C1=NC([H])=C(C([H])=N1)C([H])(N1C([H])([H])C([H])([H])N(C([H])([H])C1([H])[H])S(=O)(=O)C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H])C1=C(F)C([H])=C(Cl)C([H])=C1[H],1.0,,
4633,[H]N(C(=O)C1=C([H])N([H])C2=C(C([H])=C(C([H])=C2[H])S(=O)(=O)N([H])C2=C(C([H])=C([H])C([H])=C2[H])C([H])([H])[H])C1=O)C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C1([H])C([H])([H])[H],1.0,,
1727,[O-][N+](=O)C1=NC=CN1CCCNC1=C(Cl)C(=O)C2=CC=CC=C2C1=O,,,1.0
4356,[H]N(C(=O)C1=C(N([H])N=C1C1=NC2=C(N1[H])C([H])=C([H])C([H])=C2[H])C([H])([H])[H])C1([H])C([H])([H])N([H])C([H])([H])C([H])([H])C1([H])[H],1.0,,
8183,[H]OC(=O)C([H])([H])N1C([H])=NC2=C1N=C([H])N=C2S[H],0.0,,
1880,ClC1=CC=C(CC(NC(=O)C2=NN(N=C2)C2COC2)C(=O)NC2(CC2)C#N)C=C1Cl,,,1.0
6176,[H]N(C1=C(N(N=C1C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])S(=O)(=O)C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])C([H])([H])[H],0.0,,
8343,[H]N(C(=S)N([H])C([H])([H])C([H])([H])C1=NC([H])=C([H])C([H])=C1[H])C1=C(Cl)C([H])=C([H])C([H])=C1C([H])([H])[H],0.0,,
8039,[H]OC1=C([H])C(=O)N2C(=C1C(=O)OC([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H],0.0,,
5882,[H]N(C1=C([H])C([H])=C(C([H])=C1[H])C(=O)OC([H])([H])C([H])([H])[H])C1([H])N(C(=O)C2=C1C([H])=C([H])C([H])=C2[H])C1=C([H])N=C([H])C([H])=C1[H],0.0,,
4328,[H]N(C(=O)C1=C([H])N=C(N=C1[H])C1=C([H])C([H])=C([H])C([H])=C1[H])C1=C(C([H])=C([H])C(C#N)=C1[H])N1C([H])=NC([H])=C1[H],1.0,,
5968,[H]N(\C(SC1([H])C(=O)N(C(=O)C1([H])[H])C1=C([H])C([H])=C([H])C([H])=C1[H])=N/C([H])([H])[H])C([H])([H])[H],0.0,,
3395,[H]N(C(=O)C([H])([H])OC1=NN(C2=C1C([H])=C([H])C([H])=N2)C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H],0.0,,
2054,NC(=NO)C1=CC(OCCCCCOC2=CC=NC(=C2)C(N)=NO)=CC=N1,,,0.0
6641,[H]N(N=C([H])C([H])=C([H])C1=C([H])C([H])=C([H])O1)C(=O)C(N([H])C(=O)C1=C([H])C([H])=C([H])C([H])=C1[H])=C([H])C1=C([H])C([H])=C([H])C([H])=C1[H],0.0,,
6581,[H]N(C(=S)N([H])C1=NC(=C([H])S1)C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])[H])C(=O)C([H])=C([H])C1=C([H])C([H])=C([H])O1,0.0,,
3776,[H]OC1=C(N=C([H])C2=C1N=C([H])C([H])=C2[H])C1=NN=C(N1[H])C([H])([H])C1=C([H])C([H])=C(F)C([H])=C1[H],1.0,,
888,OC1=CC=C2C3OC4=CC5=C(OCO5)C=C4C3COC2=C1,,0.0,
4618,[H]C1=NC([H])=C(C([H])=N1)C([H])(N1C([H])([H])C([H])([H])N(C([H])([H])C1([H])[H])S(=O)(=O)C([H])(C([H])([H])[H])C([H])([H])[H])C1=C([H])C([H])=C(Cl)C([H])=C1[H],1.0,,
5849,[H]OC1=C([H])C(=NC2=C1C(=NC(=N2)C([H])([H])[H])C([H])([H])[H])C1=C([H])C([H])=C([H])C([H])=C1[H],0.0,,
