ID,SMILES,T.cruzi
3223,[H]N(C1=NC([H])=NC2=C1C([H])=NN2C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H],0
188,[H]OC(C1=C([H])C(F)=C([H])N=C1[H])(C1=C([H])N=C([H])C([H])=C1[H])C1=C(F)C([H])=C(Cl)C([H])=C1[H],1
2429,[H]N(C1=NC2=C(C([H])=C([H])C([H])=C2[H])N1C([H])([H])C([H])([H])[H])C([H])([H])C1=C(OC([H])([H])[H])C([H])=C([H])C(OC([H])([H])[H])=C1[H],0
3275,[H]C1=C(N=C(N=C1OC([H])([H])[H])N(C(=O)C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],0
4701,[H]C1=C([H])C(=C([H])C([H])=C1F)C1=NC(=C(O1)C([H])([H])[H])C([H])([H])N1C([H])([H])C([H])([H])N(C2=C([H])C(=NC(=C2[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])C1([H])[H],0
3397,[H]C#CC([H])([H])SC1=NN=C(O1)C1=C([H])C([H])=C(OC([H])([H])[H])C([H])=C1[H],0
2215,[H]OC(=O)C([H])([H])C([H])([H])C(=O)N([H])C1=C([H])C([H])=C(Br)C([H])=C1[H],0
1462,[H]OC1=C([H])C2=C(C([H])=C1[H])C(=C([H])C(=N2)N([H])C1=C([H])C([H])=C(OC([H])([H])C2=C([H])C([H])=C([H])C([H])=C2[H])C([H])=C1[H])C([H])([H])[H],1
1444,[H]C1=NC([H])=C(C([H])=C1[H])C([H])(N1C([H])([H])C([H])([H])N(C([H])([H])C1([H])[H])S(=O)(=O)C1=C([H])C([H])=C(C([H])=C1[H])C([H])(C([H])([H])[H])C([H])([H])[H])C1=C([H])C([H])=C(Cl)C([H])=C1[H],1
2477,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])(N1C([H])([H])C([H])([H])N(C([H])([H])C1([H])[H])C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C1=NN=NN1C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],0
2792,[H]OC(=O)C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])C(=O)N([H])C1=C(Cl)C([H])=C(Cl)C([H])=C1[H],0
3247,[H]N(C(=O)C1=C([H])C([H])=C(O1)C([H])([H])[H])C1=NC([H])=C(S1)C([H])([H])C1=C([H])C(=C([H])C([H])=C1[H])C([H])([H])[H],0
1297,[H]N(C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C1([H])C([H])([H])C([H])([H])N(C([H])([H])C1([H])[H])C([H])(C1=C([H])N=C([H])N=C1[H])C1=C(F)C([H])=C(Cl)C([H])=C1[H],1
3689,[H]N(C(=O)C([H])([H])N1N=C(C2=C1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C(F)(F)F)C1=C(C#N)C2=C(S1)C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C2([H])[H],0
2315,[H]N1C(SC([H])([H])C(=O)N2C3=C(C([H])=C([H])C([H])=C3[H])C([H])([H])C([H])([H])C2([H])[H])=NC([H])=C1C1=C([H])C([H])=C([H])C([H])=C1[H],0
711,[H]N(C(=O)C1=C([H])C(=NN1C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C1([H])C([H])([H])C([H])([H])N(C([H])([H])C1([H])[H])C([H])(C1=C([H])N=C([H])C([H])=C1[H])C1=C([H])C([H])=C(C([H])=C1[H])C(F)(F)F,1
2460,[H]C1=C([H])C([H])=C(C([H])=C1[H])C1=C([H])C([H])=NN2C(S1)=NN=C2C([H])([H])[H],0
6136,[H]N(C(=O)C([H])([H])OC(=O)C1=C(Cl)C(Cl)=C(Cl)C([H])=N1)C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],0
3587,[H]N(N=C([H])C1=C([H])C(OC([H])([H])C([H])([H])[H])=C(OC([H])([H])C2=C([H])C([H])=C([H])C([H])=C2[H])C([H])=C1[H])C(=O)C([H])([H])N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],0
1642,[H]N(C(=O)C1=C([H])C([H])=C([H])S1)C1=C([H])C([H])=C(N([H])C2=NC(=C([H])C(=N2)N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])[H])C([H])=C1[H],1
2587,[H]C1=C([H])C([H])=C(O1)C1([H])N2C(=NC3=C2C([H])=C([H])C([H])=C3[H])C2=C(C([H])=C([H])C([H])=C2[H])N1C([H])([H])[H],0
3824,[H]N(C(=O)C1=C([H])C([H])=C(N([H])S(=O)(=O)C([H])([H])[H])C([H])=C1[H])C1=C([H])C([H])=C(C([H])=C1[H])S(=O)(=O)N([H])C1=C(OC([H])([H])[H])C([H])=C([H])C(OC([H])([H])[H])=C1[H],0
2965,[H]N(C(=O)C1=C([H])SC(=C1[H])C([H])([H])[H])C([H])(C([H])([H])[H])C1([H])OC([H])([H])C([H])([H])C1([H])[H],0
