ID,SMILES,Tb.rhodesiense
1117,[O-][N+](=O)C1=NN(CCCNC(=O)C2=CN=C3C=CC=CC3=N2)C=N1,0
405,COC1=CC(=O)OC(CCC2=CC=C(CCC3=CC(OC)=CC(=O)O3)C=C2)=C1,0
163,CC(C)OC1=CC(NC(=N)C2=CSC(NC(C)=O)=N2)=CC=C1C1=CC=C(O1)C1=CC=C(NC(=N)C2=CSC(NC(C)=O)=N2)C=C1OC(C)C,1
167,CC(C)OC1=CC(NC(=N)C2=CSC(N)=N2)=CC=C1C1=CC=C(O1)C1=CC=C(NC(=N)C2=CSC(N)=N2)C=C1OC(C)C,1
157,CC(C)OC1=CC(NC(=N)C2=CSC(C)=N2)=CC=C1C1=CC=C(O1)C1=CC=C(NC(=N)C2=CSC(C)=N2)C=C1OC(C)C,1
159,CNC1=NC(=CS1)C(=N)NC1=CC=C(C2=CC=C(O2)C2=CC=C(NC(=N)C3=CSC(NC)=N3)C=C2OC(C)C)C(OC(C)C)=C1,1
160,CC(C)OC1=CC(NC(=N)C2=CSC(=N2)N(C)C(C)=O)=CC=C1C1=CC=C(O1)C1=CC=C(NC(=N)C2=CSC(=N2)N(C)C(C)=O)C=C1OC(C)C,1
2202,CC1=CC(=CC(C)=C1OC1=NC(NC2=CC=C(C=C2)C#N)=NC(N)=C1Br)C#N,0
1827,C(CNC1=NCCN1)CN(CCNC1=NCCN1)CCC1=CC=CC=C1,0
830,CC1=CC(C)(C)NC2=CC=C(OC(=O)C3=CC=C4OCOC4=C3)C=C12,1
1010,CC(C)(C)OC(=O)NCC1=CC=CC(CNC2CCN(CCC3=CC=CC=C3)CC2)=C1,1
988,CCC(=O)N(CC1=CC=CC(CNC(N)=N)=C1)C1CCN(CCC2=CC=CC=C2)CC1,0
996,CCC(=O)N(CC1=CC=CC(CN)=C1)C1CCN(CCC2=CC=CC=C2)CC1,1
984,CCC(=O)N(CC1=CC=CC(CNC(=O)OC(C)(C)C)=C1)C1CCN(CCC2=CC=CC=C2)CC1,0
821,CC(=O)OC1=CC=C2N(CC3=CC=CC(Cl)=C3)C(C)(C)C=C(C)C2=C1,1
822,CC(=O)OC1=CC=C2N(CC3=CC=CC(=C3)C(F)(F)F)C(C)(C)C=C(C)C2=C1,1
823,CC(=O)OC1=CC=C2N(CC3=CC=CC(C)=C3)C(C)(C)C=C(C)C2=C1,1
826,COC1=CC(OC)=CC(CN2C3=CC=C(OC(C)=O)C=C3C=CC2(C)C)=C1,1
833,CC1=CC(C)(C)N(CC2=CC=CC=C2)C2=CC=CC=C12,0
836,CC(=O)OC1=CC=C2N(CC3=CC=C(Cl)C=C3)C(C)(C)C=C(C)C2=C1,1
838,CC(=O)OC1=CC=C2N(CC3=CC=C(C)C=C3)C(C)(C)C=C(C)C2=C1,1
841,CC(=O)OC1=CC=C2N(CC3=CC=CC(=C3)C#N)C(C)(C)C=C(C)C2=C1,1
842,CC(=O)OC1=CC=C2N(CC3=CC=C(C=C3)C#N)C(C)(C)C=C(C)C2=C1,1
843,CC(=O)OC1=CC=C2N(CC3=CC=C(C=C3)C(F)(F)F)C(C)(C)C=C(C)C2=C1,1
844,CCCCCCCC(=O)OC1=CC=C2N(CC3=CC=CC=C3)C(C)(C)C=C(C)C2=C1,1
718,CC(=O)OC1=CC=C2N(CC3=CC=CC=C3)C(C)(C)C=C(C)C2=C1,1
719,COC1=CC=CC=C1CN1C2=CC=C(O)C=C2C(C)=CC1(C)C,1
720,CC1=CC(C)(C)N(CC2=CC=CC=C2)C2=CC=C(O)C=C12,1
721,CCOC1=CC=C2N(CC3=CC=C(F)C(F)=C3)C(C)(C)C=C(C)C2=C1,0
722,CC(=O)OC1=CC(C)=C2N(CC3=CC=CC=C3)C(C)(C)C=C(C)C2=C1,0
723,CC(=O)OC1=C(Cl)C=C2N(CC3=CC=CC=C3)C(C)(C)C=C(C)C2=C1Cl,1
724,CCOC1=CC=C2N(CC3=CC=CC=C3)C(C)(C)C=C(C)C2=C1,0
847,COC1=CC(OC)=CC(CN2C3=CC=C(O)C=C3C(C)=CC2(C)C)=C1,1
726,CC(=O)OC1=CC=C2N(CC3=CC=C(F)C(F)=C3)C(C)(C)C=C(C)C2=C1,1
727,CC(=O)OC1=CC2=C(C=C1Cl)N(CC1=CC=CC=C1)C(C)(C)C=C2C,1
849,CC(=O)OC1=CC=C2N(CC3=CC=C(F)C=C3)C(C)(C)C=C(C)C2=C1,1
850,CC(=O)OC1=CC=C2C(C)=CC(C)(C)N(CC3=CC=CC=C3)C2=C1,1
730,COC1=CC=CC=C1CN1C2=CC=C(OC(C)=O)C=C2C(C)=CC1(C)C,1
731,CC(C)C1=CC=C(CN2C3=CC=C(OC(C)=O)C=C3C(C)=CC2(C)C)C=C1,1
732,CC1=CC(C)(C)N(CC2=CC=C(F)C(F)=C2)C2=CC=C(O)C=C12,1
852,CC(=O)OC1=CC=C2N(CC3=CC=C(C=C3)C(C)(C)C)C(C)(C)C=C(C)C2=C1,1
853,COC1=CC=C(CN2C3=CC=C(O)C=C3C(C)=CC2(C)C)C=C1,1
858,COC1=CC(OC)=CC(CN2C3=CC=C(OC(C)=O)C=C3C(C)=CC2(C)C)=C1,1
859,CC1(C)C=CC2=CC(O)=CC=C2N1CC1=CC=CC=C1,1
860,COC1=CC=C(CN2C3=CC=C(OC(C)=O)C=C3C(C)=CC2(C)C)C=C1,1
862,COC1=CC=CC(CN2C3=CC=C(OC(C)=O)C=C3C(C)=CC2(C)C)=C1,1
867,CC(=O)OC1=CC=C2N(CC3=CC=C(Cl)C(Cl)=C3)C(C)(C)C=C(C)C2=C1,1
868,CC1=CC=C(CN2C3=CC=C(O)C=C3C(C)=CC2(C)C)C=C1,1
869,CC1=CC(C)(C)N(CC2=CC=C(Cl)C=C2)C2=CC=C(O)C=C12,1
870,CC1=CC(C)(C)N(CC2=CC=CC=C2)C2=CC=C(OC(=O)C(C)(C)C)C=C12,1
