ID,SMILES,Tb_cruzi,Tb_rhodesiense,Tb.brucei
4070,CCCN1C2C(=CC(=C(N3CCC(C(=O)N)CC3)C=2)F)C(=O)C(C(NCC2C=CC=CC=2)=O)=C1,,,5.90308998699194
1435,N(C(C1C=CC(C(F)(F)F)=CC=1)C1C=CC=NC=1)CC1CN(C(OC(C)(C)C)=O)C1,6.91542372206567,,
2237,C1NC(NC2C=CC(C3CCN(C4C=CC(NC5NCCN=5)=CC=4)CC3)=CC=2)=NC1,,7.42021640338319,
3723,CC([Si](OC1C(CO)OC(N2C(=O)NC(=O)C=C2)C1)(C)C)(C)C,,4.08092190762393,
1992,C1C=C(C(N(CC2C=CC=NC=2)C2SC3C=C(C=CC=3N=2)OCC)=O)SC=1Cl,6.0350652434157,,
1066,N(C1C=CC(C2N=C(CC3CCCN(CC4C=CC=C(F)C=4C)C3)ON=2)=CC=1)C(C)=O,6.0,,
4358,CC1C=C(C)C(OC2N=C(NC3C=CC(F)=CC=3)N=CN=2)=C(C)C=1,,,4.50723961097316
1762,N(C1C=CC=CC=1)C(N1CCN(C(C2C=CC(Cl)=CC=2)C2C=CC=NC=2)CC1)=O,8.04575749056067,,
2420,NC(NC1C=CC(NC(NC2C=CC(NC(=N)N)=CC=2)=O)=CC=1)=N,,6.7281583934635,
943,N(C1C=C(C#N)C=CC=1N1C=CN=C1)C(C1SC(C2C=CC=CC=2)=NC=1)=O,7.93930215964639,,
4244,CCC(SC1SC(C(NC(C(OC(C)(C)C)=O)CCC(=O)N)=O)=C(C2C=CC(Cl)=CC=2)C=1C#N)C,,,5.07058107428571
3787,CON=C(C1C=NC(C2N=C(C3N=CC(C(=NOC)N)=CC=3)C=NC=2)=CC=1)N,,3.92226882034761,
1368,N=C1C(C(NCC2C=CC=NC=2)=O)=CC2C(N3C(=NC=2N1CCC1C=CC(OC)=CC=1)C(C)=CC=C3)=O,4.88016829340598,,
2860,C(COC1C=CC=C(C2NCCN=2)C=1)CCOC1C=C(C2NCCN=2)C=CC=1,,5.71219827006977,
3005,COC1C(C2N=NN(C3C=C(C4NCCN=4)C=CC=3)C=2)=CC=C(C2NCCN=2)C=1,,5.39577394691553,
2630,CCN(CC(NC1C2C(C3C=CC=CC=3)CC(N3CCN(C)CC3)(CC2C2C=CC=CC=2)C1)=O)CC,,6.17392519729917,
915,C1C=CC(C(C2C=CC(C(F)(F)F)=CC=2)N2CCN(C(C(F)(F)F)=O)CC2)=CN=1,6.49349496759513,,
1217,N(C1C=C(C(N2CCOCC2)=O)C=CC=1)C1N=CC(C2C=CC3OCOC=3C=2)=CN=1,5.20000023710935,,
