ID,SMILES,Tb_cruzi,Tb_rhodesiense,Tb.brucei
3601,CC1C(C)=CC(NC2NCCN=2)=CC=1,,4.30277065724028,
1102,C1C=CC(N(C2CCN(C3C=CC=CC=3)CC2)C2C=CC(C(F)(F)F)=CC=2)=CN=1,7.85387196432176,,
338,C1C=CC(N(C2CCN(S(C)(=O)=O)CC2)C2C=CC(Cl)=CC=2)=CN=1,7.0268721464003,,
3963,CCCCN1C2C(=CC(=C(C=2F)N2CCOCC2)F)C(=O)C(C(NCC2C=CC=CC=2)=O)=C1,,,6.69897000433602
1189,N(C1CCN(S(C2C=CC(Cl)=CC=2)(=O)=O)CC1)C(C1C=CC(C(F)(F)F)=CC=1)C1C=NC=CN=1,6.48148606012211,,
309,N(C1CCN(C(OC(C)(C)C)=O)CC1)C(C1C=CC(OC(C)C)=CC=1)C1C=CC=NC=1,8.20760831050175,,
1995,C1N=C(N2CCN(C(COC3C=C(OC)C=CC=3)=O)CC2)N(C2C=CC=C(Cl)C=2)C=1,4.66909495775928,,
1202,N(C1C=CC(Cl)=CC=1)C(N1CCN(C(C2C=CC(Cl)=CC=2F)C2C=NC=NC=2)CC1)=O,8.0,,
3471,COC1C=C(C=CC2C=C(OC)C(OC)=CC=2)OC(=O)C=1,,4.50863830616573,
343,N(C1N=C(C)C=CC=1)C1SC=C(C2C=CC=CN=2)N=1,6.19999817218203,,
584,N(C1CCN(C(C2C=CC(C#N)=CC=2)C2C=CC=NC=2)CC1)C(C1C=CC(F)=CC=1)=O,7.73282827159699,,
2985,O=C(C1C=CC=CC=1)NCCC1SC=C(C2N=CC=CC=2)N=1,,5.44009337496389,
1717,N(C1C=CC=C(Cl)C=1)C(NC(C)C1SC2N(N=CN=2)C=1C)=O,6.85001154350852,,
1350,C1N=CN(CC(CC2CCCCO2)C2C=CC(Cl)=CC=2Cl)N=1,6.39999691337226,,
636,N(C1C=CC(OC2CCN(CC3OC=CC=3)CC2)=C(C)C=1)C(C1CC1)=O,4.80000005273845,,
1078,N(C1C=C(C(C)=NOC)C=CC=1N1C=CN=C1)C(C1C=CC(C2C=CC=CC=2)=NC=1)=O,7.8843894883257,,
2168,NC(C1C=CC(N2N=NC(C3C(O)=CC(C(=N)N)=CC=3)=C2)=CC=1)=N,,7.79588001734407,
2561,O=C(C1OC=CC=1)NCCC1SC=C(C2C=CC=CC=2)N=1,,6.31695296176115,
1515,OCCCCN1C(=O)C2C=CC3=C4C=2C(=CC=C4C(N(CCCCO)C3=O)=O)C1=O,5.68428569099985,,
2806,CCCC(C1C=C2C(NC(C2=C2C3C(=CC=CC=3)N(C3C(OC(=O)C)C(OC(=O)C)C(OC(=O)C)C(COC(=O)C)O3)C2=O)=O)=CC=1)=O,,5.82681373158773,
2998,CCC(N(C1CCN(CCC2C=CC=CC=2)CC1)CCCCCCCCNC(OC(C)(C)C)=O)=O,,5.40417322292678,
1827,N(C1C=CC(C(F)(F)F)=CC=1)C1N=CN=C2C=1C=NN2,5.01171262392762,,
721,NC1N(C2N=CC(F)=C(NC(C)C)N=2)N=C(CC)C=1C1CCCCC1,5.45000047642533,,
2686,CN1CCN(CC(OC2C3C(C4C=CC=CC=4)CC(N4CCCCC4)(CC3C3C=CC=CC=3)C2)=O)CC1,,6.06048074738138,
259,COC1C2C(C3C(C=2C2C(=CC=C(C=2)Br)N=1)=CC=CC=3)(OC(N(C)C)=O)C,,5.27736607746619,5.08460016478773
2968,OC1C(O)=CC(CC(NCCCCNC(CC2C=C(O)C(O)=CC=2)=O)=O)=CC=1,,5.48148606012211,
1591,N(C1CCN(C(C2C=CC(C#N)=CC=2)C2C=CC=NC=2)CC1)C(C1N=C(C)OC=1)=O,6.94119451332409,,
332,C1C=CC(C(C2C=CC(Cl)=CC=2F)N2CCN(C(OC3C=CC=CC=3)=O)CC2)=CN=1,8.34678748622465,,
2119,COC1C(C2NC3C(=CC=C(C(=N)N)C=3)C=2)=CC=C(C(=N)N)C=1,,8.22184874961636,
589,C1C=CC(C(C2C=CC(Cl)=CC=2F)N2CCN(C(C3C=CC=CC=3)=O)CC2)=CN=1,7.15490195998574,,
1291,C1N=C2N=C(C)C=C(OC3C=C(Cl)C(Cl)=CC=3Cl)N2N=1,5.30000020244542,,
3700,CCC1C(O)(C)C(O)C(C)C(=O)C(C)CC(O)(C)C(OC2C(O)C(N(C)C)CC(C)O2)C(C)C(OC2OC(C)C(O)C(OC)(C)C2)C(C)C(=O)O1,,4.14218522202899,
4035,C(CCCCNC1C2C(=CC=CC=2)N=C2C=1C=CCC2)CCCCCNC1C2C=CCCC=2N=C2C=1C=CC=C2,,,6.05551732784983
1406,N(S(C1C=C(C2OC(C)=NC=2)C=CC=1OC)(=O)=O)C1C=CC(C)=CC=1C,5.55000045168902,,
3616,CCC(N(C1CCN(CCC2C=CC=CC=2)CC1)CCCNC(OC(C)(C)C)=O)=O,,4.28329566976976,
2802,COC1C2C(=NC(CC=2C(C2C3C(=C(C=C(C=3)C)OC)C(O)=CC=2)=C(OC)C=1)C)C,,5.83564714421556,
469,N(CCCN1CCC(N2CCCCC2)CC1)C(C1COC2C=CC(=CC=2C=1)Br)=O,5.37478429839541,,
2257,NC(C1C=C(C(=O)N)C(OCCCCCOC2C(C(=O)N)=CC(C(=N)N)=CC=2)=CC=1)=N,,7.34678748622466,
726,OC(C1C=CC(Cl)=CC=1Cl)(C1C=CC(Cl)=CC=1)C1C=CC=NC=1,7.82390874094432,,
3160,O=C(C1C=CC(C(NCC2C=CC(C3NCCN=3)=CC=2)=O)=CC=1)NCC1C=CC(C2NCCN=2)=CC=1,,5.02227639471115,
2116,COC1C(C2N=NN(C3C=C(C4NCCN=4)C=CC=3)C=2)=CC(C2NCCN=2)=CC=1,,8.22184874961636,
4236,COC1C=CC(CCOC2C(OC)=CC=C(C3C(C)(C)C(=O)N(C4CCCCCC4)N=3)C=2)=CC=1,,,5.09151498112135
264,CCCCC(OC1(C2C(N3C=NC=C3)=NC3C(C=2C2C1=CC=CC=2)=CC(Br)=CC=3)C)=O,,5.23582386760967,5.09097914578884
1256,OCC1C=CC(C2C3C(N)=NC=C(C4C=C(S(C)(=O)=O)C=CC=4)C=3SC=2)=CC=1,6.09999903484653,,
1124,N(C1CCN(C(C2C=CC(C#N)=CC=2)C2C=CC=NC=2)CC1)C(C1C(C)=NOC=1C)=O,7.28819277095881,,
2405,COC1C=CC(CN2C(C)(C)C=C(C)C3C2=CC=C(C=3)O)=CC=1,,6.76955107862173,
3434,CCCC1(OC(O)=C(C(C2C=C(NS(C3N=CC(C(F)(F)F)=CC=3)(=O)=O)C=CC=2)CC)C(=O)C1)CCC1C=CC=CC=1,,4.57872520878965,
3222,BrC1C=CC=C(C(CC(C2C=NC=CC=2)CC(C2C=C(Br)C=CC=2)=O)=O)C=1,,4.91364016932525,
