ID,SMILES,Tb_cruzi,Tb_rhodesiense,Tb.brucei
3529,CC(C1C(O)C(O)C(C)=CC1)CCC=C(C)C,,4.41793663708829,
134,CC1C(NC2N=C(NC3C=CC(C#N)=CC=3)N=C(NCCNC3N=C(NC4C(C)=CC(Br)=CC=4C)N=C(NC4C=CC(C#N)=CC=4)N=3)N=2)=C(C)C=C(Br)C=1,,6.76955107862173,6.88605664769316
770,OC1C=C(C)C(Cl)=CC=1C1C2C(C3C=CC=CC=3F)N(CCC3C=CC(OC)=CC=3)C(=O)C=2NN=1,4.88803216279393,,
1193,N(C1C=CC=CC=1C)C1N=C(N(C)C)C=C(C)N=1,5.8000008748032,,
994,OC(C1C=CC(Cl)=CC=1F)(C1C=CC(Cl)=CC=1)C1C=NC=NC=1,7.2839966563652,,
559,N(C1CCN(C(C2C=CC(C#N)=CC=2)C2C=CC=NC=2)CC1)C(C1C=CC=CC=1F)=O,7.62893213772826,,
2211,CC(NC(C1C=CC(NC2NC3C(=CC(C(NC(C)C)=N)=CC=3)N=2)=CC=1)=N)C,,7.56863623584101,
3431,CON=C(C1C=NC(C2C=CC=C(C3N=CC(C(=NOC)N)=CC=3)C=2)=CC=1)N,,4.58004425151024,
641,C#CCOC(C(C)OC1C=CC(OC2N=CC(Cl)=CC=2F)=CC=1)=O,4.17069622716897,,
1100,N(C1C=CC(N2C(C)CN(CC3C=CC(C#N)=CC=3)CC2)=CC=1)C(C1C=CC=CC=1F)=O,4.60000007460618,,
2534,CCC(N(C1CCN(CCC2C=CC=CC=2)CC1)CCCCCCCCCCCCNC(=N)N)=O,,6.36552272983927,
2511,C(COC1C=CC=CC=1)CCOC1C=CC(C2OC3C(=CC(C4NCCN=4)=CC=3)C=2)=CC=1,,6.42712839779952,
1956,N(C1C=CC(C)=CC=1C(C1C=CC=CC=1)=O)C(C1C(OC)=C(OC)C=CC=1)=O,5.00737336016551,,
580,C1C=CC(N(C2CCN(C3C=CC(C(F)(F)F)=CC=3C#N)CC2)C2C=CC(Cl)=CC=2)=CN=1,8.30102999566398,,
1041,OC1C=CC(Br)=CC=1CN1CCN(CC2C=CC(Cl)=CC=2)CC1,5.08185848127625,,
3576,CC(CC1C2N(C=CC=2C2C(=CC=CC=2)N=1)O)C,,4.33818731446274,
1433,C1C=CC(CN(CC2C(C(C3C=C(OC)C=CC=3)=O)C2)CC2C=CC=NC=2)=CN=1,7.0,,
3399,FC1C=CC(C(CCCN2CCC3(C(=O)NCN3C3C=CC=CC=3)CC2)=O)=CC=1,,4.65072247253204,
4395,CC1(OC2C(=CC(C3C(=O)C4C(=CC(=CC=4O)O)OC=3)=CC=2O)CC1)C,,,4.11350927482752
138,CC1C=C(Br)C(NC2N=C(NC3C=CC(C#N)=CC=3)N=C(NCCNC3N=C(NC4C(Br)=CC(C)=CC=4)N=C(NC4C=CC(C#N)=CC=4)N=3)N=2)=CC=1,,6.67778070526608,7.06048074738138
1144,NC1C2C=CC=CC=2N=C(NC2C=CC=C(F)C=2)N=1,4.6955366164799,,
726,OC(C1C=CC(Cl)=CC=1Cl)(C1C=CC(Cl)=CC=1)C1C=CC=NC=1,7.82390874094432,,
3574,CCC1C=CC(NC(=N)N)=CC=1,,4.34008379993015,
3256,CC(OC(NC(=NC(OC(C)(C)C)=O)NC1C=CC=C(N2CCN(C3C=CC=C(NC(=NC(OC(C)(C)C)=O)NC(OC(C)(C)C)=O)C=3)CC2)C=1)=O)(C)C,,4.86012091359876,
2424,NC(NC1C=CC(OC2C=CC(NC(=N)N)=CC=2)=CC=1)=N,,6.70774392864352,
992,N(C1CCN(C(C2C=CC(C#N)=CC=2)C2C=CC=NC=2)CC1)C(C1C(C(F)(F)F)=NN(C)C=1)=O,7.54515513999149,,
446,N(C(CC(C)C)C(NC1(CC1)C#N)=O)C(C1OC(C2C=CC=CC=2)=CC=1)=O,4.4999999533289,,
2961,C(CCOC1C=CC=C(C2NCCN=2)N=1)CCOC1N=C(C2NCCN=2)C=CC=1,,5.51286162452281,
2956,NC(C1C=CC(COC2C=CC(N)=CC=2)=CC=1)=N,,5.52287874528034,
256,CC1C=C(Cl)C(OC2N=C(NC3C=CC(C#N)=CC=3)N=C(Cl)N=2)=CC=1,,5.34390179798717,5.25884840114821
1020,C1C=CC(C(C2C=CC(Cl)=CC=2)C(N2CCN(C3C=CC(C(F)(F)F)=NC=3)CC2)=O)=CN=1,8.1249387366083,,
613,N(S(CC1C=CC=CC=1)(=O)=O)C1C=NC=CC=1N1CCN(C2C=CC(C(F)(F)F)=CC=2)CC1,7.74472749489669,,
2058,O=C(C1C=CC(C2NC3C(=CC=C(C4NCCN=4)C=3)C=2)=CC=1)NCC1C=CC(C2NCCN=2)=CC=1,,8.82390874094432,
323,OC1C2N=CC=CC=2C=CC=1C(C1C=CC=C(OCC2C=CC=CC=2)C=1)NC1C=C(C)C=CN=1,5.97797187553524,,
2345,COC1C(OCC2C=CC(C(=N)N)=CC=2)=C(OC)C=C(C(=N)N)C=1,,6.95860731484177,
2297,CSC1C=CC(N2N=C(C(NC(C(NC3(C#N)CC3)=O)CC3C=C(Cl)C(OC(F)(F)F)=CC=3)=O)C=N2)=CC=1,,7.17392519729917,
3753,CCCCCCCCCCC1(C(=O)C(CC)=C(O)S1)C,,4.01322826573375,
1037,N(C1C=CC=CC=1)C1N=C(N2CCOCC2)C=C(C2C=CC=CN=2)N=1,5.70000050388302,,
976,C1C(N2CCCC2)=CC(Cl)=C(C(N2CCCN(C)CC2)=O)C=1,6.05000045714008,,
1816,N(C1SC=C(CC(N2CCN(C3C=CC=C(C(F)(F)F)C=3)CC2)=O)N=1)C(NC1C=CC=CC=1OC)=O,5.74714440060429,,
3723,CC([Si](OC1C(CO)OC(N2C(=O)NC(=O)C=C2)C1)(C)C)(C)C,,4.08092190762393,
2140,FC1C=CC=C(C2N=C(CCNC(N3CCCCC3)=O)SC=2)C=1,,8.04575749056067,
3571,COC1C=C(C=CC2C=CC(C(C)(C)C)=CC=2)OC(=O)C=1,,4.35654732351381,
1198,OC1C=CC(Br)=CC=1CN1CCC(N(CC)CC2C=CC=CC=2)CC1,4.92632636413018,,
655,OC1CCN(C(C2C=CC(Cl)=CC=2)C2C=CC=NC=2)CC1,6.09691001300806,,
2745,CC(NC(C1C=C2C(OC(C3C=C(OCCCCCCOC4C=CC=CC=4)C=CC=3)=C2)=CC=1)=N)C,,5.93554201077308,
476,N(C1CCN(C2C=CC(S(C)(=O)=O)=CC=2)CC1)C(C1C=CC(Cl)=CC=1F)C1C=CC=NC=1,8.22184874961636,,
950,N(C1CN(C2N=CC=CN=2)C1)C(C1C=CC(C(F)(F)F)=CC=1)C1C=CC=NC=1,6.93930215964639,,
1939,C1C=CC(CN(C2SC3C=C(C=CC=3N=2)SC)C(C2C=CC(C(C3C=CC=CC=3)=O)=CC=2)=O)=CN=1,5.7536461532862,,
2052,ClC1C2OCC=CCCN3C(C4C=CC=CC=4)=CC(C(NC(C(NC4(C#N)CC4)=O)CC(=CC=2)C=1)=O)=N3,,9.22184874961636,
2718,COC1C(C)C(OC(=O)C)C(C)C(O)C(C)C(O)C(C)C=CC=C(C)C(=O)NC2C=C(C3=C4C(=O)C(OC4=C(C(=C3C=2O)O)C)(C)OC=C1)O,,6.00436480540245,
2192,FC(OC1C(Cl)=CC(CC(C(NC2(C#N)CC2)=O)NC(C2C=NN(C3C=CC(Cl)=CC=3)N=2)=O)=CC=1)(F)F,,7.65757731917779,
626,OC(C1C=CC=C(Cl)C=1)(C1C=CC(Cl)=CC=1)C1C=NC=NC=1,6.28988263488818,,
2597,BrC1C=CC=C(C2N=C(CCNC(C3C=CC=CC=3)=O)SC=2)C=1,,6.2572748686953,
2200,O=C(C1C=CC(C2NC3C(=CC=C(C4NCCN=4)C=3)C=2)=CC=1)NCC1C=CN=CC=1,,7.63827216398241,
177,CC1C=C(Br)C(NC2N=C(NC3C=CC(C#N)=CC=3)N=C(NCCCCNC3N=C(NC4C(Br)=CC(C)=CC=4Br)N=C(NC4C=CC(C#N)=CC=4)N=3)N=2)=C(Br)C=1,,6.13667713987954,6.2518119729938
3072,C1C2C(C3SC4C(=CC=CC=4)C=3)=CN(CC2)C1,,5.2518119729938,
851,N(C1CCN(C(C2C=CC(C(F)(F)F)=CC=2)C2C=NC=CN=2)CC1)C(CC(C)C)=O,6.55284196865778,,
1821,C1SC(SCC2C=CN=CC=2)=NC=1CC(N1CCN(C2C=CC=CC=2)CC1)=O,4.99044824345472,,
1860,N(C1SC=C(C2C3C=CC=CC=3C=CC=2)N=1)C(CCS(C1C=CC=CC=1)(=O)=O)=O,5.80862281924345,,
4236,COC1C=CC(CCOC2C(OC)=CC=C(C3C(C)(C)C(=O)N(C4CCCCCC4)N=3)C=2)=CC=1,,,5.09151498112135
956,OC(C1C=CC=CC=1Cl)(C1C=CC=NC=1)C1SC=CC=1,6.46218090492673,,
350,OC(CN1C2C=CC=CC=2C2C=CC=CC1=2)CNC1CCCC1,4.85428877676714,,
1047,OC(C1C(F)=CC=CC=1F)(C1C=CC(Cl)=CC=1)C1C=CC=NC=1,7.09691001300806,,
2909,CC(NC1C=CC(OC2C(=O)C3C(=CC=CC=3)C(=O)C=2)=CC=1)=O,,5.61978875828839,
1031,N(C1C=CC=CC=1C1C=CC=CC=1)C(C1C=CC(NC(CC)=O)=CC=1)=O,6.29999760285775,,
1331,N(C1CCN(C(C2ON=C(C)C=2)=O)CC1)C(C1C=CC(C(F)(F)F)=CC=1)C1C=CC=NC=1,6.44009337496389,,
1247,OC(C1C=C(OC)C=CC=1)(C1C=CC(Cl)=CC=1)C1C=CC=NC=1,7.21467016498923,,
4334,CCCCN1C2C(=CC(=C(N3CCOCC3)C=2)F)C(=O)C(C(=O)O)=C1,,,4.65364702554936
1127,OC(C1C=C(C(NCCCOC(C)C)=O)C=CC=1)(C1C=CC(Cl)=CC=1)C1C=CC=NC=1,7.01099538430146,,
1953,N(C1SC(SCC(NCC2CCCO2)=O)=NN=1)C(COC1C=CC(Cl)=CC=1)=O,6.02747022102531,,
981,OC1C(CN2CC3(CCCN(CC4C=CC(F)=CC=4)C3)CC2)=C(OC)C=CC=1,4.91097956061847,,
627,N(C1CCN(C(C2C=CC(F)=CC=2F)C2C=NC=CN=2)CC1)C(C1C=CC=CC=1)=O,6.25963731050576,,
4293,CCC(OC1CC2C3(COC2=O)C(=C(C2C(C4C=COC=4)OC(=O)C=2C=C3)C)C=1)=O,,,4.86602157574969
1291,C1N=C2N=C(C)C=C(OC3C=C(Cl)C(Cl)=CC=3Cl)N2N=1,5.30000020244542,,
1068,N(C1C=CC(S(C)(=O)=O)=CC=1)C1N=CC=C(C2C=NN3C=2C=CC=N3)N=1,5.70000050388302,,
1325,C1N=CC(C(C2C=CC(Cl)=CC=2F)N2CCN(C3C=CC=CC=3OC)CC2)=CN=1,7.18708664335714,,
930,C1N=CC(C(C2C=CC(Cl)=CC=2)C(N2CCN(C3C=CC(C(F)(F)F)=CC=3)CC2)=O)=CN=1,6.92811799269387,,
816,N(CCCN(C)C)C1C2C=C(C=CC=2N=CC=1C(OCC)=O)Cl,4.79040671227146,,
2089,O=C(C1C=CC(C(NC2C=CC(C3NCCN=3)=CC=2)=O)=CC=1)NC1C=CC(C2NCCN=2)=CC=1,,8.32790214206428,
