ID,SMILES,Tb.rhodesiense
164,CC(C)OC1=CC(NC(=N)C2=CC=CN=N2)=CC=C1C1=CC=C(O1)C1=CC=C(NC(=N)C2=CC=CN=N2)C=C1OC(C)C,1.0
1564,CC(C)(C)C1=CC=C(CN2C=CC(CC2(C)C)=[N+]2CCCC2)C=C1,1.0
831,CC1=CC(C)(C)N(CC2=CC=CC=C2)C2=CC=C(OC(=O)C3=CC=CC=C3)C=C12,1.0
1550,CC1(C)CC(C=CN1CC1=CC=CC=C1C#N)=[N+]1CCCC1,0.0
390,COC1=CC(=CC=C1OCCCOC1=CC=C(C=C1OC)C1=NCCN1)C1=NCCN1,1.0
1580,CN(C)C12CC(C(NC(=O)C1)C(C2)C1=CC=CC=C1)C1=CC=CC=C1,0.0
511,COC1=NC(NC2=CC=C(C=C2)C#N)=NC(NC2=C(C)C=C(C)C=C2Br)=N1,0.0
939,CN(C)C12CC(NC(=O)CCN3CCN(C)CC3)C(C(C1)C1=CC=CC=C1)C(C2)C1=CC=CC=C1,1.0
218,CC=C(C)C(=O)OC1CC(=C)C(=O)CC(O)\C(C)=C/C2OC(=O)C(=C)C12,1.0
952,O=C(OC1CC2(CC(C1C(C2)C1=CC=CC=C1)C1=CC=CC=C1)N1CCCCC1)C1=CC2=C(OCO2)C=C1,1.0
1418,CC1=CC(C)=C(NC2=NC(NC3=C(C)C=C(C)C=C3C)=NC(NCCCCNC3=NC(NC4=C(C)C=C(C)C=C4C)=NC(NC4=C(C)C=C(C)C=C4C)=N3)=N2)C(C)=C1,0.0
969,CCC(=O)N(CCCCCN)C1CCN(CCC2=CC=CC=C2)CC1,0.0
1658,ClC1=CC=C(C=C1)C(=O)NCCC1=CSC(=N1)C1=CC=CC=C1,0.0
532,[O-][N+](=O)C1=NC=CN1CCCN(CC1=CC=CC(=C1)C(F)(F)F)CC1=CC=CC(=C1)C(F)(F)F,0.0
1671,ClC1=CC(=CC=C1)C(=O)NCCC1=CSC(=N1)C1=CC=CC=C1,1.0
1733,OC(=O)C1=CN(C2CC2)C2=CC(N3CCNCC3)=C(F)C=C2C1=O,0.0
1598,CN1CCN(CCC(=O)OC2CC3(CC(C2C(C3)C2=CC=CC=C2)C2=CC=CC=C2)N2CCCC2)CC1,1.0
450,COC1=NC2=CC=C(Br)C=C2C2=C1C(C)(OCC(O)CN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C21,1.0
1624,O=C(NCCC1=NC(=CS1)C1=CC=CC=C1)OC1=CC=CC=C1,0.0
514,COC1=NC(NC2=CC=C(C=C2)C#N)=NC(NC2=C(Br)C=C(C)C=C2Br)=N1,1.0
93,CC1=NC2=CC=CC=C2C2=C1NC=C2,0.0
676,FC(F)(F)C1NC(CC2=CC=C(OC\C=C/COC3=CC=CC=C13)C(Cl)=C2)C(=O)NC1(CC1)C#N,1.0
741,COC1=CC=C(OCC2=CC=C(C=C2)C(=O)N2CCCCC2C)C=C1,1.0
817,CC(=O)OC1C(CS(C)(=O)=O)OC(C1OC(C)=O)N1C=NC2=C(N)N=C(Cl)N=C12,0.0
1135,[O-][N+](=O)C1=NN(CCNS(=O)(=O)C2=CC=C(C=C2)C(F)(F)F)C=N1,1.0
1357,CON=C(N)C1=CC=CC(COC2=CC=C(C=C2Cl)C(N)=NOC)=C1,0.0
954,CN(C)C12CC(OC(=O)C3=CC4=C(OCO4)C=C3)C(C(C1)C1=CC=CC=C1)C(C2)C1=CC=CC=C1,1.0
742,CCOC1=CC=C(OCC2=CC=C(C=C2)C(=O)N2CCCCC2C)C=C1,1.0
496,COC1=CC(C)=CC(OC)=C1OC1=NC(N)=NC(NC2=CC=C(C=C2)C#N)=N1,1.0
644,C(OC1=CC=CC(=C1)C1=NC2=CC=CC=C2N1)C1=CC(COC2=CC=CC(=C2)C2=NC3=CC=CC=C3N2)=CC=C1,1.0
2186,NC(=N)C1=CC=C(OCCCOC2=CC=C(C=C2)C(O)=O)C=C1,0.0
1173,CN(C)C1=CC=C(NC(N)=N)C=C1,0.0
655,COCCOC1=CC=C(CC(NC(=O)C2=NN(N=C2)C2=CC=C(F)C=C2)C(=O)NC2(CC2)C#N)C=C1Cl,1.0
942,CN1CCN(CCC(=O)N2CCC3(CC(C2C(C3)C2=CC=CC=C2)C2=CC=CC=C2)N2CCCC2)CC1,0.0
680,CC1=CC2=NN1CC\C=C/COC1=CC=C(CC(NC2=O)C(=O)NC2(CC2)C#N)C=C1Cl,1.0
539,[O-][N+](=O)C1=NN(CCCNC2=C3C=CC=CC3=NC3=CC=CC=C23)C=N1,1.0
367,CC(C)NC(=N)C1=CC=C(OCCCCCOC2=CC=C(C=C2)C(=N)NC(C)C)C=C1,1.0
505,CC1=CC(C=O)=CC(C)=C1OC1=NC(N)=NC(NC2=CC=C(C=C2)C#N)=N1,1.0
1576,C1CCN(C1)C12CC(C(CNC1)C(C2)C1=CC=CC=C1)C1=CC=CC=C1,1.0
2032,CCC(C(C)C)C(=O)CC(C)C1=C(O)C(=O)C2C3CCC4CC(CCC4(C)C3CCC12C)OC1OC(C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O)C(O)=O,1.0
1284,NC(=N)C1=CC=C(O1)C1=CC=C(O1)C1=CC=C(C=C1)C(N)=N,1.0
944,CN1CCN(CC(=O)OC2CC3(CC(C2C(C3)C2=CC=CC=C2)C2=CC=CC=C2)N2CCCC2)CC1,1.0
873,C(CCOC1=CC(=NC=C1)C1=NCCN1)CCOC1=CC=NC(=C1)C1=NCCN1,0.0
573,C(CCOC1=CC=CC=C1)CCOC1=CC=C(C=C1)C1=CC2=CC=C(C=C2O1)C1=NCCN1,1.0
411,COC1=CC(=O)OC(C=CC2=CC=C(C=C2)C(C)(C)C)=C1,0.0
95,CC(C)CC1=NC2=CC=CC=C2C2=C1N(O)C=C2,0.0
970,CCC(=O)N(CCCNC(NC(=O)OC(C)(C)C)=NC(=O)OC(C)(C)C)C1CCN(CCC2=CC=CC=C2)CC1,1.0
463,CC(C)(C)OC(=O)NC(C(=O)ON=C1C2=CC=CC=C2C2=C1C(=NC1=CC=C(Br)C=C21)N1CCN(CC1)C1=CC=CC=N1)C(C)(C)C,1.0
1026,CC(=O)NC1=CC=C(C=C1)C(=O)NCCOCCNC1=NC=NC2=C1N=CN2C1OC(CO)C(O)C1O,0.0
373,COC1=CC(=CC=C1OCCCOC1=CC=C(C=C1OC)C(N)=N)C(N)=N,1.0
596,C(CCOC1=CC=C(C=C1)C1=CC2=CC=C(C=C2O1)C1=NCCN1)COC1=CC=CC=C1,1.0
1929,CN(C)C1=NC(CN(CCCNCCCCCCCCCNCCCN(CC2=NC(N)=NC(=N2)N(C)C)CC2=NC(N)=NC(=N2)N(C)C)CC2=NC(=NC(N)=N2)N(C)C)=NC(N)=N1,1.0
996,CCC(=O)N(CC1=CC=CC(CN)=C1)C1CCN(CCC2=CC=CC=C2)CC1,1.0
449,COC1=NC2=CC=C(Br)C=C2C2=C1C(C)(OCC(O)CN)C1=CC=CC=C21,1.0
1896,CCONC(=N)C1=CC=C(C=C1)C1=CC=C(O1)C1=CC=C(C=N1)C(=N)NOCC,1.0
1505,NC(=N)C1=CC=C(C=C1)C1=CN=CC(=N1)C1=CC=C(C=C1)C(N)=N,1.0
1164,OC(=O)CCCN1CSC(=S)N(CCCCCCN2CN(CCCC(O)=O)CSC2=S)C1,1.0
293,CC(C)NC(=N)C1=CC=C(C=C1)C1=CC(=CC=C1)C1=CC=C(C=C1)C(=N)NC(C)C,1.0
1277,COC1=CC=C(C=C1C1=CN(N=N1)C1=CC=CC(=C1)C(=N)NC(C)C)C(=N)NC(C)C,1.0
1414,COC1=CC(=CC(OC)=C1OCC1=CC=C(C=C1)C(N)=N)C(N)=N,1.0
1821,C(CNCCNC1=NCCN1)CNC1=NCCN1,0.0
1778,CC1=CN(C2OC(CO)C=C2)C(=O)NC1=O,0.0
316,CNC(=N)NC1=CC=C(C=C1)C1=CC=C(C=C1)C1=CC=C(NC(=N)NC)C=C1,1.0
435,COC1=CC=CC(NC(=O)NC2=CC=C3N=C(OC4=CC=C(F)C=C4C(C)O)C(CC4=CC=CC=C4)=CC3=C2)=C1,1.0
1933,CCCCCCCCCCC1(CC)SC(O)=C(C)C1=O,0.0
128,[O-][N+](=O)C1=CN(C=N1)C1=CC=C(OC(F)(F)F)C=C1,1.0
199,CN1CCN(CC1)C12CC(NC(=O)CN3CCCC3)C(C(C1)C1=CC=CC=C1)C(C2)C1=CC=CC=C1,1.0
1272,COC1=CC(=CC=C1N1C=C(N=N1)C1=CC=CC(=C1)C(=N)NC(C)C)C(=N)NC(C)C,1.0
1834,NC(=N)NC1=CC=C(C=C1)C1=CC=C(NC(N)=N)C=C1,1.0
192,C(CNC1CC2(CC(C1C(C2)C1=CC=CC=C1)C1=CC=CC=C1)N1CCCCC1)CN1CCCC1,1.0
1802,CC1OC(=O)CC(O)CC(O)CCC(O)C(O)CC(O)CC2(O)CC(O)C(C(CC(OC3OC(O)C(O)C(N)C3O)C=C\C=C/C=CC=CC=C\C=C/C=C\C(C)C(O)C1C)O2)C(O)=O,1.0
153,CC(C)OC1=CC(NC(=N)C2=CC=CN2)=CC=C1C1=CC=C(O1)C1=CC=C(NC(=N)C2=CC=CN2)C=C1OC(C)C,1.0
1431,CC1=CC(C)=C(NC2=NC(=NC(NC3=CC=C(C=C3)C#N)=N2)N2CCN(CC2)C2=NC(NC3=C(C)C=C(C)C=C3C)=NC(NC3=CC=C(C=C3)C#N)=N2)C(C)=C1,1.0
280,N=C(NC1=CC=C(C=C1)C1=CC=CC(=C1)C1=CC=CC(NC(=N)C2=CC=CC=N2)=C1)C1=CC=CC=N1,1.0
481,COCCCNC1=NC(NC2=CC=C(C=C2)C#N)=NC(NC2=C(Br)C=C(C)C=C2Br)=N1,0.0
1570,ClC1=CC=C(C=C1)C1CC2(CC(C1CNC2)C1=CC=C(Cl)C=C1)N1CCCCC1,1.0
1707,[O-][N+](=O)C1=NN(CC(=O)C2=CC=C(C=C2)C2=CC=CC=C2)C=N1,1.0
2100,OC(=O)C1=CC(Br)=C(Br)N1,0.0
1542,NC(=N)C1=CC=C2C=C(NC2=C1)C1=CC=C(N=C1)C(N)=N,1.0
432,COC1=NC2=CC=C(Br)C=C2C2=C1C(C)(OCC(O)CN1C=CC(=N1)C1=CC=CC(=C1)C(F)(F)F)C1=CC=CC=C21,1.0
1557,CC1(C)CC(C=CN1CC1=CC=C2OCOC2=C1)=[N+]1CCCC1,0.0
2102,CCC(CCC(C)C1CCC2C3=CCC4CC(O)CCC4(C)C3CCC12C)C(C)C,0.0
1774,CN(C(=S)OC1=CC=C2C=CC=CC2=C1)C1=CC(C)=CC=C1,0.0
104,CNC(C(C)C)C(=O)N(C)C(CC1=CC=CC=C1)C(=O)NCCC1=CC=CC=C1,0.0
708,[O-][N+](=O)C1=CN=C(NC(=O)COC2=CC=C(C=C2)C2=CC=CC=C2)S1,0.0
1271,COC1=CC(=CC=C1C1=CN(N=N1)C1=CC=CC(=C1)C(=N)NC(C)C)C(=N)NC(C)C,1.0
1369,COC1=CC(=CC(OC)=C1OCC1=CC=CC(=C1)C(N)=NO)C(N)=NO,0.0
296,ClC1=CC(=CC(=C1)C1=CC=C(NC(=N)C2=CC=CC=N2)C=C1)C1=CC=CC(NC(=N)C2=CC=CC=N2)=C1,1.0
1244,O=C(C1=CC=C(NC2=NCCN2)C=C1)C1=CC=C(NC2=NCCN2)C=C1,1.0
499,CC1=CC(Br)=C(OC2=NC(N)=NC(NC3=CC=C(C=C3)C#N)=N2)C(Br)=C1,1.0
780,CC1OC(C(O)C1O)N1C=NC2=C(N)N=C(N=[N+]=[N-])N=C12,0.0
502,CC1=CC(Br)=C(NC2=NC(N)=NC(NC3=CC=C(C=C3)C#N)=N2)C(Br)=C1,1.0
